Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Random,Deep Beeline,Two,Normal,54,20183,72,19A 20C G 2A 3C G 4A 15A G 1B 17C G 7B 20D G 1D 5B G 13B 16D G 16A 3D G 1A 12B G 17A 10D G 10D 8B G 14D 9D G 13A 17B G 13D 13B G 14C 17D G 6A 6D G 6D 18C G 14A 18B G
Random,Barricade,Two,Normal,51,16734,26,7C 4B G 7A 6C G 19A 6A G 1D 15D G 2A 2B G 2C 20C G 9C 15B G 11A 10D G 10A 10B G 18B 15C G 7C 18D G 14D 16A G 8B 3D G 11C 18A G 10C 16D G 9D 15D G 18C 16C G
Barricade,Random,One,Normal,69,191,57,15B 20A G 13D 13A G 18C 2D G 11A 2A G 7C 6A G 17D 1C G 11B 14A G 20D 11D G 14C 12D G 12D 17C G 15D 1A G 7A 5C G 17B 4A G 5B 4C G 16D 18B G 8A 8C G 19C 12A G 14A 1D G 3D 16B G 14D 5C G 3D 14D G 20A 6C G 15B 19B G
Deep Beeline,Random,Two,Normal,48,31880,51,13D 4B G 12D 6C G 9D 1B G 3C 18B G 15C 13A G 20B 11D G 3D 11C G 4D 6A G 1C 12C G 11C 18D G 16A 13B G 8A 5D G 2C 8C G 7C 2D G 19A 8C G 14D 20C G
Deep Beeline,Barricade,Two,Normal,57,6390,28,8A 15B G 8B 9D G 3D 3A G 8C 20C G 20D 2C G 8D 19D G 20B 14B G 20A 14C G 13C 9C G 4B 15C G 13B 9B G 5D 12D G 11C 17C G 16A 6D G 13A 19C G 1C 6D G 18B 4B G 5C 14D G 18A 17A G
Barricade,Deep Beeline,One,Normal,72,48070,61,16B 16A G 12B 12A G 7D 8C G 7B 8A G 3D 20C G 1A 1B G 1C 18B G 15C 11C G 17C 5A G 10B 11D G 20D 8D G 9D 10A G 6C 13A G 19A 19B G 19C 14C G 11B 14A G 4C 4D G 9A 10C G 11A 12B G 16C 19C G 10C 18B G 18D 20B G 12A 1A G 9C 4C G
Monte Carlo Tree Search,Random,One,Normal,45,205295,29,8B 18B G 3B 14D G 10A 4B G 16D 13C G 11C 19C G 2D 12A G 11B 3B G 3B 9B G 13B 3D G 14C 12C G 8A 2B G 9C 14D G 13C 4C G 3B 14A G 10A 17A G
Monte Carlo Beeline 4,Deep Beeline,One,Normal,48,229953,9,3B 7D G 18C 7A G 12B 1D G 8C 1A G 16D 13A G 14B 9B G 9D 5A G 9A 16C G 20A 4D G 16B 2D G 19D 2A G 18B 19A G 11B 6D G 18D 11C G 1A 13C G 10A 16C G
Barricade,Monte Carlo Beeline 4,Two,Normal,51,230001,78,20C 16B G 1C 1A G 6D 2C G 18D 2D G 2A 19D G 7B 7D G 3D 9A G 3B 3A G 11C 4D G 14B 9C G 9B 6C G 16C 3C G 12A 14A G 4C 13B G 2A 14A G 7A 12A G 7C 17B G
Random,Monte Carlo Beeline 3,Two,Normal,48,207049,2,1C 20C G 12A 4A G 17C 6D G 18D 15C G 20D 5C G 1B 17D G 3C 17B G 18C 17C G 7D 15A G 7B 6A G 20D 8B G 15B 6A G 2A 19A G 9B 17C G 9C 14A G 19B 12D G
Monte Carlo Beeline 3,Barricade,One,Normal,60,249620,9,3B 7D G 3A 8D G 20A 4B G 2B 18A G 2A 2C G 2D 7A G 12B 7B G 7C 11C G 19C 8B G 13A 9D G 11D 19B G 9C 14C G 5D 10C G 12A 6C G 15B 15A G 7C 9A G 14A 4B G 1C 6A G 16A 8C G 4A 10D G
Random,Monte Carlo Barricade,Two,Normal,51,249626,37,10B 10C G 7D 12D G 19C 3B G 7B 2A G 19D 15B G 10A 9B G 17A 8D G 6B 5C G 20A 14D G 8B 4D G 3D 20C G 19B 18C G 13A 16C G 4B 20A G 2A 2B G 11D 1D G 14A 3A G
Random,Monte Carlo Beeline 4,Two,Normal,51,242361,64,17A 18B G 5C 9C G 10A 15D G 12C 13C G 5D 17C G 2A 19D G 8B 3D G 16C 13A G 6C 4B G 8D 18D G 9C 1A G 20B 13B G 11D 18A G 18B 12B G 7A 20C G 4B 7D G 19C 6B G
Monte Carlo Beeline 3,Random,One,Normal,45,181209,28,8A 4C G 19C 14D G 1C 11C G 15C 1B G 3D 8D G 10A 6A G 16C 9C G 17A 13D G 10C 11A G 16D 4B G 5C 7A G 11A 13A G 12D 4D G 19B 2A G 13C 19A G
