Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,129,8147407,0,1A 3C G 19A 9B G 8C 13C G 14B 13A G 14A 8A G 12A 8B G 10B 10D G 7D 10C G 11C 12D G 10D 17C G 15B 17A G 15D 8B G 1D 16D G 5D 2C G 4C 15A G 5A 5B G 15C 6B G 11D 20D G 16A 16C G 5A 1C G 8B 20C G 5A 18C G 12B 15A G 5D 5C G 11A 10D G 18B 14C G 14A 5D G 4A 4C G 11B 5D G 15A 5C G 15B 15A G 5D 10B G 12B 19B G 14C 1D G 9B 18D G 14B 6A G 11A 7B G 7B 8C G 6A 12D G 8A 14A G 1B 14B G 14B 10C G 14A 16B G
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,100,7602330,0,1A 19B G 8B 17D G 12B 12A G 11C 15A G 7B 7C G 2B 16D G 16C 16A G 4A 9A G 14A 9D G 9B 3B G 2A 3A G 2C 8D G 4C 9C G 4A 13B G 13C 14D G 3D 3C G 18D 5D G 10C 6D G 18D 11B G 19C 6B G 18D 2B G 9D 1D G 9A 14D G 2B 2A G 9A 2B G 7A 7B G 9A 12D G 12D 7B G 10C 18B G 11C 7B G 9A 11C G 12A 1D G 7B 13B G 13A
