Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path
Deep Beeline,Random,Two,Normal,334,536790,26,7C 20D G 19A 2D G 2A 6C G 15B 18A G 13A 20B G 9C 6A G 10D 12D G 19C 2B G 20C 2C G 20B+ 3C G 10D 9C+ G 19D 11D G 14D 15A G 7A 17C G 16A 7D G 4D 9A G 20A 19B G 16D 4C G 3B 17B G 16B 9A G 9A 11B G 8D 18C G 16D 13D G 7A 18B G 14A 12A G 10A 3C G 18B 15C G 17C 18B G 14C 5D G 16C 8B G 17C 11B G 20D+ 16C G 5C 17A G 19B+ 17C G 16C 19B+ G 17A+ 17C G 16C 8D G 20A 3D G 17C 6A G 16C 9C G 11A 10C G 5B 17C G 11C 5D G 15B+ 16D G 20A 13B G 17A+ 5D G 8C 20B+ G 9A 15D G 10D 13D G 20D+ 15D G 4D 17A+ G 1A 9C G 16B 1A+ G 4A 16A G 1D 6C+ G 20A 16B G 15D 8D G 12D+ 16B G 17C 19B+ G 20D+ 5A G 20C 8D G 10C+ 17C G 5D 16B G 1C 18D G 10B 13C G 12C 10D G 10D 12A+ G 3A 17C G 10D 15B+ G 14D 8B G 17D 6C+ G 20A+ 10D G 8B 1D G 20C 3A G 10D 14B G 15C+ 6B G 6B 6D G 16A 15B G 6B 10A G 10C+ 6B G 1B 15D G 12C+ 9A G 17C 8D G 15A+ 10B G 17C 7B G 10B 17D G 17C 9D G 2C 17C G 10B 20B+ G 17D 10B G 17C 7D+ G 20A+ 10B G 10D 5D G 11D 17C G 10B 10A+ G 5B+ 10B G 15B 18D G 15D+ 17C G 10B 15D+ G 1A+ 10D G 10B 12C+ G 15A+ 17C G 17C 14B G 12D+ 17C G 17C 10A+ G 16C+ 5A G 10B 16D G 8A 17C G 10B 5A G 15B 10B G 10D 17B+ G 5C,5A 5C 1D 6C 15B 15A 15C 20D 20A 20B 16B 17B 17A
Random,Monte Carlo Tree Search,Two,Normal,94,743548,45,12B 14B G 12C 13C G 8D 18C G 18B 9B G 3D 6D G 5A 5D G 15C 19D G 18C+ 17C G 6A 8C G 5A 6C G 11D 14A G 19B 13D G 16D 12B G 18A 6D G 13D 20A G 5B 18D G 11B 7D G 6B 2A G 15D 14B+ G 5A+ 9C G 4A 12A G 14B+ 17C+ G 15B 19A G 17D 15A G 11C 2D G 19A+ 11D+ G 11B+ 13B G 3D 9D G 3B 20B G 10D 8C G 4B 12B+ G 2C,2C 7D 12B 12A 12C 17D 18C 18A 18B 19B 19A 19D
Barricade,Monte Carlo Beeline 4,Two,Normal,94,754478,53,14B 11A G 9A 9B G 9C 1A G 12B 1B G 1C 1D G 18B 6C G 5C 18C G 9A 5C G 6C 2A G 12C 1B G 6C 5C G 19D 10D G 5A 15D G 19B 10D G 5A 7A G 6A 6C G 10D 5C+ G 14C 5A G 10D 18A G 19A 12A G 6C 13D G 19A+ 10D G 12A 15B G 14C+ 4A G 4C 10B G 10B+ 2C G 17B 10B+ G 10D 17D G 17B 10B+ G 1D+ 3D G 10C 5C+ G 10A,1A 1D 5C 10D 10A 10B 14C 19D 19A 19B 18B 18A
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,73,828175,22,6C 8C G 4D 4A G 14A 18A G 13B 14D G 19A 5B G 5D 15D G 10B 16D G 11A 13D G 16B 8A G 2A 8B G 17C 18A+ G 3B 13A G 5A 15B G 16A 8B G 20D 17C G 7D 8B+ G 12C 1B G 16B 15B G 4C 11D G 9A 9B G 13C 7B G 9A+ 14C G 9B 1D G 3D 1C G 15A,8B 13D 13A 13C 9B 14D 14A 14C 10B 15D 15A 15B
Monte Carlo Beeline 4,Random,One,Normal,55,419732,66,17C 15B G 5C 14D G 3B 13A G 18A 17D G 20B 8B G 11A 9C G 19B 2A G 7A 1D G 19A 13B G 4C 4A G 16D 14C G 16B 9A G 9B 6D G 6D+ 19C G 4D 8C G 8A 7D G 2C 16B G 11B 3A G 3C,3B 3A 3C 4D 9C 9A 9B 14D 19C 19A 19B 20B
Monte Carlo Beeline 3,Random,One,Normal,67,509781,26,7C 9D G 5D 13D G 11C 14D G 10D 1B G 12D 8B G 9A 6D G 17B 20C G 7B 11D G 17A 20D G 6C 13B G 3D 19D G 2B 3C G 4B 7B G 7B+ 1C G 1A 5D+ G 20A 11A G 18A 7D G 15D 17C G 11B 1D G 8B 2A G 1B 7D+ G 9B 18B G 16D,1A 1C 6D 11B 11A 11C 16D 17C 17A 17B 18B 18A
Monte Carlo Beeline 4,Monte Carlo Barricade,One,Normal,73,854476,29,8B 8C G 14B 8D G 15D 5C G 1A 18A G 8A 10A G 19B 2A G 16D 16A G 7B 13D G 2C 13C G 19C 17D G 2D 6D G 11D 6B G 9A 16A G 20D 14D G 4B 16B G 11B 14D+ G 18D 18C G 18C 19C G 7C 3C G 8C 3D G 8C 18C G 18C 11C G 20C 18C G 13C 9C G 18C,2D 2A 2C 3D 8C 8A 8B 13D 18C 18A 18D 19C
Monte Carlo Beeline 3,Barricade,One,Normal,91,610970,3,1D 4B G 1A 12B G 6A 6C G 5C 6B G 9D 6C G 11D 15D G 9B 6C G 11D 13A G 20A 6C G 6C 11A G 17B 11D G 15C 16C G 7A 6C G 11D 19C G 19B 15C G 6C 12A G 17A 19A G 8A 8C G 16B 12C G 12D 15A G 11D 6C G 18A 8D G 17D 11C G 3C 18C G 16A 2C G 6C 2B G 10A 6C G 18C 10C G 18C 7C G 16D 18C G 6C,1D 6C 6A 6B 11D 16C 16A 16B 17B 17A 17D 18C
Random,Monte Carlo Beeline 4,Two,Normal,88,615517,58,15C 3C G 8D 6A G 20B 17C G 12A 13D G 12D 17B G 19C 17D G 12C 16C G 9B 5C G 3D 20C G 12C 9D G 9C 13B G 19A 2D G 5D 20D G 16A 10D G 5B 7A G 12A+ 5C+ G 2B 12D G 2C 7C G 18C 8A G 11C 13A G 19D 10B G 8A+ 1D G 16D 8D+ G 16D 6C G 3D+ 12A+ G 16A+ 4B G 7B 16C+ G 12A+ 5B+ G 8C 8A+ G 8B,3C 8D 8A 8B 12C 12A 12D 17C 16D 16A 16C 20D
Monte Carlo Beeline 3,Deep Beeline,One,Normal,91,712992,10,3C 12B G 20D 11C G 1D 13D G 17C 17D G 14A 12A G 17A 11D G 18C 19D G 6B 10D G 18A 14C G 12C 19C G 19B 12C G 10C 13D G 2A 8A G 16C 20B G 15A 20C G 3B 16D G 4A 16B G 1A 4D G 16A 11B G 7D 2D G 11A 8D G 19A 16B G 7C 7B G 7B 11A G 14D 9A G 11B 9C G 5D 19A G 5D 11B G 8C 19A G 5A 8C G 19A,2A 2D 7C 11B 11A 11C 16D 16A 16B 20B 19B 19A
