Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path
Parallel MCTS Beeline,Random,One,Normal,97,907297,20,6A 15C G 18D 11D G 8D 8B G 19A 13D G 4B 19D G 16C 15D G 14D 2D G 14A 10D G 7A 6D G 14A+ 5D G 7C 13A G 2D+ 8C G 6A 8B+ G 18C 20A G 10A 10C G 16A 20B G 14C 17B G 15C+ 12C G 2C 19A+ G 15B 20C G 16B 2D G 12B 3A G 14D 15B G 12B 10B G 17D 14B G 2B 12D G 11A 15B G 6C 15B G 16B 2A G 1D 5C G 5A 12C G 10C 17C G 5B,4B 5B 5A 5C 10D 10A 10B 15D 20C 20A 20B 16B
Barricade,Parallel MCTS Beeline,Two,Normal,92,838156,67,17D 18A G 19B 18B G 18C 13A G 12C 12A G 13B 10D G 9B 9A G 14D 4A G 5A 4B G 4C 6B G 20B 4D G 4C 20A G 13B 15C G 15C 16A G 8D 19A G 18B 12B G 3D 19A G 13D 11A G 1A 13D G 13C 9B G 3B 13D G 13C 15A G 8C 8A G 13D 12C G 6D 13C G 8A 15C G 20D 13C G 13C 4C G 2A 17C G 15B 18B G 13D 10B G 14D 18C,8D 13B 13A 13D 18C 18A 18B 19B 20B 20A 20D 15C
Parallel MCTS Beeline,Monte Carlo Tree Search,One,Normal,49,688196,9,3B 19C G 5D 18C G 18B 14D G 13D 16B G 8B 5A G 11A 3C G 5C 1A G 4B 18A G 3A 19A G 1C 20B G 13D 6C G 19C+ 1B G 14B 15A G 10B 8A G 8D 12B G 19B 9B G 17B,3B 3A 3C 8D 8A 8B 13D 18C 18A 18B 17B 16B 20B
Parallel MCTS Beeline,Barricade,One,Normal,97,868151,31,8D 5D G 8A 15D G 14C 13B G 3C 4B G 9D 4A G 5B 12C G 15B 3B G 4A 1D G 2C 1A G 6C 1B G 7A 2B G 1A 10A G 18A 5B G 1A 4B G 14A 5C G 5C 13A G 8C 2A G 3D 20B G 19A 4A G 7B 4C G 1D 5C G 4A 7C G 2C 11B G 1A 2B G 5C 20A G 1A 2A G 17B 3B G 10B 17C G 17A 13C G 6A 12D G 7B 4C G 6C 2D G 18B,1B 2B 2A 2D 7C 7A 7B 12D 17C 17A 17B 18B
Monte Carlo Barricade,Monte Carlo Beeline 3,Two,Normal,94,764425,57,15B 1C G 11A 8D G 19C 18A G 17C 9B G 4D 5A G 16B 6B G 18D 11B G 1A 16D G 16C 5D G 9D 11C G 1D 7A G 1B 4C G 17C 5B G 14C 14A G 11C 10B G 9A 11A G 11A 19A G 7C 14A G 13C 9B G 4C 11B G 11B 13A G 13C 18D G 6D 18C G 11D 11B G 18D 12C G 1C 6D G 13D 2B G 13C 18D G 6D 2D G 12B 1D G 18D 13C G 6D,6D 1C 1A 1B 5B 5A 5D 4C 9D 9A 9B 13C
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,118,926810,43,11D 4A G 5B 8A G 13A 14A G 19A 18A G 15D 16C G 20B 12C G 11A 20D G 7B 11B G 7D 7A G 5D 16A G 15B 10A G 2D 7C G 2A 11C G 7D 2C G 2D 10D G 19D 3A G 9C 19B G 5A 17B G 2B 10C G 4B 14C G 16B 4D G 20B+ 15A G 16C 20B G 19C 16B G 6D 14D G 20B 16B G 6C 19A+ G 3D 9A G 20C 20A G 8C 8D G 3B 4A+ G 3B 4C G 20B 5D+ G 3B+ 2B G 14B 20B G 3D 16C G 2B 3B G 3B+ 20B G 3D 14B G 2B,2B 3B 4B 5B 5A 5D 10C 14B 14A 14D 19C 19A 19B
Monte Carlo Tree Search,Monte Carlo Beeline 4,Two,Normal,94,775500,71,18D 6A G 11A 20A G 10C 13D G 17C 12A G 1C 2B G 14D 13B G 2C 17A G 9B 12C G 18C 7A G 7B 9D G 4C 17B G 18C 12B G 8D 14B G 19B 15C G 1B 8A G 19B+ 18B G 8C 18B G 17C+ 9C G 5C 9A G 18B+ 18A G 2A 19A G 17A+ 3C G 16A 12D G 19B+ 12C+ G 14C 12D G 7B+ 4C+ G 5B 7B+ G 19A+ 7D G 4C+ 17B+ G 19C 7D G 12A 7B+ G 14A,7A 7B 12D 17C 17A 17B 18B 19B 19A 19C 14D 14A
Monte Carlo Barricade,Parallel MCTS Beeline,Two,Normal,76,989273,34,9C 18A G 15B 7B G 15A 14C G 14A 2D G 7A 3D G 20C 4A G 5B 12A G 13A 13D G 18C 12D G 20A 16B G 16D 7C G 13D 13C G 2B 20B G 17C 17B G 12B 11C G 18B 11A G 18A 13B G 20D 10D G 17C 9D G 11D 11C G 9A 9C G 14B 3A G 19D 9A G 16C 15D G 19D 15D G 10B,9C 9A 9D 14B 14A 14C 10B 15D 20C 20A 20D 16C 11D
Parallel MCTS Beeline,Deep Beeline,One,Normal,109,993581,3,1D 20D G 8B 3A G 7D 2A G 13D 17A G 13A 19C G 11B 8C G 12A 9A G 9D 12C G 9C 15B G 18C 10B G 14B 10C G 10D 18B G 8D 19B G 20B 10A G 15C 15A G 17B 9B G 9B 14D G 13B 11A G 7B 11D G 14B 18B G 17C 19D G 15C 11D G 1B 16B G 11C 17A G 13B 7A G 18D 3B G 6B 3C G 7A 8A G 6D 13C G 6B 5A G 5B 16D G 7A 12D G 12B 3D G 3D 11A G 1C 7A G 4B 3D G 4B,5A 5B 4B 3B 3A 3D 8C 12B 12A 12D 17C 17A
Monte Carlo Beeline 4,Monte Carlo Barricade,One,Normal,127,995764,57,15B 11C G 20A 11B G 14B 18D G 16A 14A G 4C 9B G 9C 19A G 3A 7A G 18B 2B G 11D 4B G 19D 5A G 10C 19B G 2A 3C G 1A 8A G 5B 3B G 18C 13B G 2A 6A G 6B 20D G 20B 3D G 4A 20C G 12A 15A G 17D 17A G 7C 8C G 17C 15D G 7D 14C G 8A 5A G 18A 8C G 4D 15D G 1B 17D+ G 10D 15A G 1B 4D+ G 6B+ 16C G 8D 10C+ G 13C 17A G 6C 10D+ G 15B+ 15A G 6C 7B G 15A 1D G 10A 4D+ G 17C+ 16D G 8D 10A G 8B 5D G 9D 11B G 9D,8B 8A 8C 3D 3A 3C 4D 4A 4C 9D 14B 10C 10A 10D 15B
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,70,895095,67,17D 6A G 14C 9B G 19B 8B G 11B 1A G 4B 12C G 2B 18B G 18B+ 15B G 10C 13A G 15C 20A G 6C 13D G 15D 9C G 12B 1B G 7C 10A G 14D 15D+ G 1A+ 6B G 19D 11A G 6D 13C G 9D 20B G 16B 9A G 14B 11A G 17A 10D G 8D 13B G 1C 6B G 11D,9C 9A 9D 14B 10C 10A 10D 15B 6C 6A 6B 11D
Monte Carlo Tree Search,Random,One,Normal,223,972997,47,12D 3C G 4D 13C G 2C 2D G 14B 14A G 20B 10D G 4B 18C G 16C 5A G 3C+ 4C G 11D 16B G 9C 13D G 14B 5C G 16A 6D G 11B 20C G 12A 1D G 15A 19D G 5A+ 20B G 12A 20C+ G 1B 11D+ G 15A+ 4B+ G 9A 10B G 17C 7B G 20C+ 1A G 6C 10C G 9B 2B G 8B 3C+ G 14C 5B G 16A 5D G 20D 15D G 8D 1D G 9D 11A G 18B 7C G 5A+ 8B+ G 16B 7D G 3D 10A G 3A 14C G 12B 13A G 15C 2A G 9A+ 11C G 12D+ 4D+ G 9A+ 16D G 3D 1A G 9B 17B G 13D+ 12C G 9A+ 3B G 6A 7B G 9A+ 18D G 20A 4B+ G 3A 15B G 1B 14D G 19B 4C+ G 1D 2A G 14C 16D+ G 18B+ 9B G 12B 7D G 4A 19A G 9C+ 18B+ G 15A+ 5A+ G 9A+ 17A G 18D+ 8D G 14A 12A+ G 12A+ 19C G 5B 13C+ G 13B 10C G 1B 4A G 19B 7A G 4D+ 17C+ G 18C+ 3A G 12B 20A G 2B 12B+ G 2A 10A G 6D+ 20D G 19C 8B+ G 8B+ 18A G 7D 6A+ G 17D,6A 6D 11B 11A 11C 16D 17C 17A 17D 18C 13D 13A
Deep Beeline,Random,One,Normal,163,150554,61,16B 16D G 13C 2D G 7C 12B G 9D 17C G 13D 6D G 16D+ 17D G 6B 20C G 6A 19C G 7A 2C G 18D 13A G 7B 11A G 4A 14B G 18D 11C G 15B 15A G 12C 15D G 5C 10B G 16C 3A G 14A 19D G 4C 14D G 2B 3D G 12D 2A G 13B 9D G 20D 20A G 3D 14D G 20B 4C G 17A 4D G 19D 19A G 6B 15D G 1C 4D G 14C 9C G 4C 19A G 6B+ 4C G 19D 7D G 9B 15D G 8D 16D+ G 12A 10D G 10A 19B G 1C 1D G 4B 9B+ G 5D 1C G 11D 5A G 15C 11B G 17C 1A G 12B+ 6C G 13B 8C G 18B 9C G 4A 19B G 10C 14B G 9A 3C G 5D+ 6D G 15C 10D G 10C 12A G 18C 19A G 4C 12A G 18A,1C 2D 7C 7A 7B 12D 12A 12C 17D 18C 18A 18D
Parallel MCTS,Monte Carlo Beeline 4,Two,Normal,70,867475,7,2D 13A G 14D 6B G 18A 13B G 8C 9A G 7D 2C G 18D 9D G 5B 13C G 3C 13D G 17C 19A G 11A 7A G 17A 18D G 20D 15C G 11D 10A G 12D 16B G 2B 20A G 18B 2C G 2D+ 8D G 18A 15D G 20D 16C G 19B 4B G 20C 3A G 20B 20A G 20A+ 20B+ G 20A,3A 3C 8D 13B 13A 13C 18D 18A 18B 19B 20B 20A
Random,Parallel MCTS,Two,Normal,136,997362,69,18B 10A G 9D 8A G 14B 1A G 5C 4D G 8D 4B G 19C 16C G 11C 12A G 11A 13C G 18B+ 1A+ G 6C 3B G 20D 19B G 19A 3A G 8B 10D G 3D 7C G 15B 13D G 6A 7D G 3C 9C G 2D 12D G 5B 18C G 7A 14B G 1C 18C+ G 6A+ 5D G 7A 17A G 2D 15C G 18B+ 6B G 10C 12C G 17C 20B G 9D+ 18D G 20D+ 14C G 1C 8A+ G 13B 2D+ G 12D 11D G 2B 17A G 1A+ 3D G 4D+ 10A+ G 14B 16A G 7B 11B G 7C 18B+ G 2A 4B+ G 4C 4D+ G 4D+ 17B G 3B 20D+ G 1D 9A G 6D 14A G 15D 1D G 11A,9A 9D 14B 10C 10A 10D 5C 1D 1A 1C 6D 11B 11A
Parallel MCTS Beeline,Monte Carlo Beeline 4,One,Normal,73,941206,4,2A 13C G 9C 6B G 14D 4C G 6D 11B G 12A 15B G 3D 19A G 4B 15D G 10B 2B G 5D 7A G 6C 19D G 5D 14A G 7C 20A G 6A 1A G 15B+ 6D G 20D 20C G 12D 14A G 9D 2D G 7B 17B G 17A 3B G 1B 14B G 4A 1C G 7B+ 4C G 2B 1D G 10D 3B G 14C,2A 2B 3B 4B 4A 4C 9D 14B 14A 14C 19D 19A
Parallel MCTS,Deep Beeline,One,Normal,127,1042448,45,12B 20A G 3D 12B+ G 12B+ 9B G 18B 5C G 8D 3A G 17D 12C G 14D 2C G 16D 5B G 19A 16C G 19D 3C G 15B 17A G 4A 13D G 1B 10C G 10D 6A G 5A 2A G 17B 19D G 7B 13A G 18C 12D G 1D 17D G 18A 19C G 6D 15A G 13C 4B G 2D 20C G 10B 14A G 1D+ 15D G 7C 19A+ G 19A+ 13A G 13B 11C G 5B+ 8B G 9D 9A G 9A+ 19B G 13A 8A G 15C 11D G 11A 7A G 13B 8C G 9D 8A+ G 5D 7C G 6C 16D G 11B 6C G 17C 5B+ G 10C 16A G 18C 7C G 6C,10C 5D 5A 5C 1D 6C 6A 6D 11B 7C 7A 7B 12D
Monte Carlo Barricade,Deep Beeline,One,Normal,217,1011309,79,20D 10C G 12C 6B G 16D 3A G 1B 18B G 9D 6C G 12B 15D G 20A 13A G 14A 7B G 6A 8D G 2C 1D G 10B 9C G 20B 14C G 19C 6D G 20B 7C G 15A 11B G 11D 1A G 17A 5A G 11B 12D G 2B 18A G 18A 3D G 4B 15C G 7D 7A G 7C 11B G 18C 18A G 3C 11A G 13D 10D G 4D 8C G 11B 18C G 16B 15C G 3D 19A G 9A 14A G 9C 4D G 13B 17C G 18B 13C G 14D 15C G 16A 5C G 8A 16C G 1B 5B G 16C 18D G 14A 8B G 5B 17C G 20B 19B G 1D+ 5C G 17D 8A G 2B+ 14A G 4C 4D+ G 5A 6C G 17D 3C G 4B+ 11B G 18B 8A G 20C 13B G 6C 12A G 20D+ 8B G 7D 20D+ G 9B 18C G 11B 9C G 7A+ 18B G 11C 16B+ G 4D+ 3B G 1B 1A+ G 17B 13C G 11C 20B G 2B 10A G 1B 18B G 10A 8A G 5B 17A+ G 9A+ 11D G 9C 2A G 16A 13C G 14A 14B G 13C 12A G 2D 17D G 9C,4D 9C 9A 9B 14D 19C 19A 19B 20B 20A 20D 16C
Parallel MCTS,Random,One,Normal,151,1083403,40,11A 6B G 19A 16B G 18A 2A G 15D 3C G 20A 7D G 13D 18C G 12B 18D G 15B 13B G 10A 14A G 19B 13A G 9D 15D+ G 13D 9D+ G 15A 2D G 20D 20A+ G 13A+ 15A G 10B 9C G 11D 2D+ G 15B+ 2B G 8C 18B G 6B+ 6D G 16D 12C G 17B 1D G 11D 17C G 11B 11A+ G 3C+ 16A G 19D 11C G 6A 15B+ G 7A 1B G 7B 15A+ G 3B 4A G 5D 8D G 9B 11D G 11A+ 12C+ G 3D 4D G 11B 5B G 15C 16D+ G 19C 3B+ G 8D 9D+ G 10A+ 8D+ G 14A+ 16B G 18A 9B+ G 10D 1A G 9A 12B G 12C+ 16C G 16C+ 1C G 7B 7C G 18D 9B G 12D 13C G 17C 13D G 12C+ 17D G 17A,4D 9C 13B 13A 13C 18D 18A 18C 17D 17A 17C 16D 11C 11A 11D 16C
Parallel MCTS,Barricade,One,Normal,139,1015729,79,20D 10C G 20A 19B G 8B 8A G 13D 1C G 11D 1A G 6D 16D G 4A 2D G 1A 19C G 4A+ 6D G 2D 14D G 17B 4C G 4D 3A G 10A 10B G 3C 18D G 13B 18A G 3C 8D G 17D 12B G 13A 11A G 1B 5B G 3C 13C G 9C 13A G 3C 12D G 14A 13A G 3C 11B G 14B 12A G 12A 14C G 15A 9A G 16C 15B G 18D+ 9A G 16C 13A G 3C 19A G 15D 1C G 13A+ 19A G 19A 7D G 6B 19A G 15D 7D G 13C+ 19A G 19A 8D+ G 15D 19A G 10B 5D G 6B+ 19A G 19A 10C G 9C+ 19A G 10B 5C G 10B 8B G 9A 6C G 13D,6C 15B 15A 15D 10B 14C 14A 14D 19C 18D 13C 13A 13D
Monte Carlo Beeline 4,Parallel MCTS Beeline,Two,Normal,94,1098995,32,9A 14D G 16D 12D G 13D 9B G 1C 10A G 3B 5B G 1A 8D G 20B 2A G 12B 8D+ G 19B 2D G 18A 19A G 19B+ 13A G 18C 12A G 19A+ 2C G 4C 17C G 19D 8B G 8C 8A G 15A 5D G 1B 14B G 8B 17B G 14C 16D G 16B 9C G 18D 19D+ G 16A 4A G 13A 16B G 9A 4D G 14A 12B G 20B+ 8C G 15D 10B G 16D+ 5A G 14B 12B+ G 20B+ 19C G 10C,1A 1B 5B 5A 5D 10C 14B 14A 14D 19C 18D 18A
Parallel MCTS,Monte Carlo Tree Search,One,Normal,79,875369,46,12C 3D G 7C 10C G 17D 13B G 11D 7A G 8D 17C G 18D 6A G 17D+ 19C G 5C 10D G 10A 7B G 7D 20D G 5B 8D G 3B 1C G 19D 8A G 10B 11C G 18B 9C G 14A 20C G 17A 13B+ G 20B 17B G 20D+ 5A G 1A 12A G 10B 6C G 8D+ 20A G 3C 5C G 1D 16B G 16D 8D+ G 1C 20B G 15D,10A 10B 15D 20C 20A 20B 16B 17B 17A 17D 12C 12A
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,94,1105363,20,6A 13D G 4D 16C G 11D 16D G 2D 2A G 7B 13C G 14C 17D G 11B 14D G 16D+ 2D G 13B 2C G 7C 3B G 6C 19C G 5C 9A G 2A 5C+ G 9B 15B G 19D 2B G 18A 4C G 1D 15C G 19B 10C G 15D 19D G 3A 15B+ G 2D+ 11C G 3C 16A G 17B 20A G 9B 12B G 8B 13A G 3A 8C G 2D+ 11A G 20B 15A G 15A 19A G 9C 2D+ G 8C+ 3D G 13B,3A 3C 4D 9C 13B 13A 13C 9B 14D 19C 19A 19B 20B 20A
Barricade,Monte Carlo Beeline 4,Two,Normal,256,1105792,35,9D 11C G 11A 18A G 7B 14B G 17A 16D G 7B 17D G 2D 16D G 18C 8A G 6C 6A G 16D 8B G 11D 12C G 12C 9C G 6B 7B G 16D 6A G 15D 16D G 7B 2A G 19A 16D G 7B 6B+ G 6B+ 16C G 16D 16A G 11A+ 7B G 16C 20C G 11D+ 16D G 16D 12A G 1A 13A G 1B 11D+ G 13C 17C G 7B 15A G 3A 14C G 12C 6A+ G 5C 11B G 14C+ 16D G 6A+ 14C+ G 10A 5C+ G 17D+ 4D G 12B 17D+ G 17A+ 14A G 16B 16D+ G 11C+ 1D G 10D 17D+ G 17C 18C G 1D 10D G 6B+ 15C G 6C 17C+ G 5C+ 2B G 10B 11C+ G 6A+ 14B G 19B 11D+ G 11A+ 8C G 13A+ 17A+ G 17D+ 10B+ G 7D 17C+ G 11D+ 5B G 1D 5C+ G 6A+ 15B G 1D 18B G 17D+ 10C G 14A+ 11D+ G 17B 3C G 1D 11A+ G 6A+ 12D G 10A 16D+ G 5C+ 9B G 13D 17A+ G 11C+ 6D G 14D 17C+ G 6A+ 3D G 14B+ 17D+ G 6C 20D G 1D 17D+ G 6A+ 15B G 1D 20A G 6C+ 1D G 1D 20A G 11C+ 5D G 15D 11D+ G 19B 1D G 18B 18D G 11C+ 7C G 7A 6B+ G 17C+ 19C G 15B 5C+ G 6A+ 4D G 18B 16D+ G 11C+ 1D G 15B 11D+ G 1D,5C 1D 6C 6A 6B 11D 11A 11C 16D 17C 17A 17D
Monte Carlo Beeline 3,Parallel MCTS,One,Normal,89,1107062,21,6B 7D G 6C 12A G 13B 16A G 3D 3B G 20C 3A G 2D 9C G 18C 6C+ G 15C 4D G 5B 19B G 2C 17A G 17B 2D+ G 13A 7B G 19D 7D+ G 6D 8A G 13D 15D G 14D 17D G 10A 3A G 17C 11D G 20A 18D G 8D 14B G 9A 11B G 20D 4A G 4B 20B G 4C 19A G 6A 15D G 2C+ 1D G 19A 12C G 15C 15A G 16D 13C G 5A 13A,5B 4B 4A 4D 9C 13B 13A 13D 18C 17D 17A 17B
Monte Carlo Beeline 4,Deep Beeline,One,Normal,199,1003964,6,2C 11A G 19D 9A G 12D 15B G 12B 12C G 1D 8B G 13D 1D+ G 12D+ 7A G 17A 18A G 18B 16B G 20D 18D G 10C 7B G 14B 13A G 13B 8D G 9C 14A G 10C+ 5D G 1B 5B G 9D 4C G 14D 4B G 4D 4A G 5A 18A+ G 4C 9B G 1B 1A G 14A 19C G 14C 7D G 15D 4A G 14D 18B+ G 4C+ 1B G 5C 18D+ G 20B 1B G 14D 20B+ G 13C 5C G 9A 4B+ G 10D 16B G 7C 4B+ G 16A 9A G 16B 13C+ G 9A 1B G 5C 17C G 17B 16B G 16B 18B+ G 16C 11B G 9B 19C G 11D 9B G 17B 20A G 16D 1B G 5B 19C+ G 14C 2D G 17B 9B G 18B+ 11D G 16C 17B G 9B+ 16B G 2A 17B G 20C 16C G 16B 18A+ G 3D 16B G 16B 4C+ G 9A+ 17C G 16B 16D+ G 18D+ 17C G 16B 9D+ G 18B+ 4A G 4A 20C G 4A 2B G 16B 4B+ G 9B+ 5B G 16B 13C+ G 5B,5B 4B 4A 4C 9D 9A 9B 13C 18D 18A 18B 17B
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,97,1068249,22,6C 3B G 13D 9C G 14A 18A G 3C 8B G 2B 19B G 10B 18C G 9A 11B G 12D 3A G 3A 8A G 20D 18B G 11D 6B G 7A 9B G 20A 20C G 8C 16C G 14B 10C G 12A 11D G 5C 5D G 6B 17A G 17D 4C G 16B 17C G 16A 6A G 4D 16D G 15A 17C G 12B 17B G 6C 16A G 10D 17C G 1D 10C G 4A 4D G 16A 3D G 6B 15B G 6B 3B G 4B 12D G 6A,5C 1D 6C 6A 6B 11D 16C 16A 16D 17C 17A 17D
Monte Carlo Tree Search,Parallel MCTS,Two,Normal,100,1141550,76,20A 9D G 20D 11A G 19A 20B G 2C 12B G 8C 8D G 6D 5A G 16A 3B G 9B 16B G 12D 12C G 2A 1C G 14A 10B G 6D+ 10D G 7A 16D G 5B 5D G 16C 15B G 6C 19D G 17A 14C G 4D 7C G 13B 11C G 5B 15C G 6A 13A G 18D 2B G 10A 2B G 2D 4A G 14C 19C G 18A 13B G 1A 14D G 4A 14A+ G 17C 9A G 4B 13D G 9C 7C G 9C 10B G 7A+ 13C G 1C,1C 2D 2A 2B 3B 4B 4A 4D 9C 9A 9B 13C 18D
Barricade,Parallel MCTS,Two,Normal,166,1092794,72,19A 15C G 1B 1A G 2B 13D G 11A 5B G 11B 3B G 15C+ 3A G 4B 15B G 8D 2B G 3A 2B G 8A 1B G 2A 3C G 12B 8B G 3B 15B+ G 14D 13B G 13B 3D G 19B 3B G 3C 19B G 17C 13B G 3C 14A G 15A 11D G 13B 3A G 14D+ 3B G 3C 13D+ G 8B 9B G 3C 8C G 6B 18C G 13A 17B G 4A 3B G 18C 10A G 5D 13A G 16B 7B G 5A 18C G 13A 19D G 15B+ 18C G 13A 9C G 16A 3B G 18C 12B+ G 15B+ 13A G 9A 13A G 9D 13C G 18C 13D+ G 18C 18A G 13C 4D G 13D+ 3B G 18A 15C+ G 4A+ 13C G 18A 8B+ G 16C 4B G 1B 18B G 18D 20D G 20B 9B G 18A 10C G 9A 2A G 19C 1C G 1A 2C G 14C,2C 3D 8C 8A 8B 13D 18C 18A 18D 19C 14D 14A 14C 19D
Deep Beeline,Monte Carlo Barricade,Two,Normal,244,1110694,59,15D 3B G 12B 19B G 8B 15B G 6A 17B G 16D 20A G 18C 4C G 20D 1A G 3A 13D G 1B 13C G 12D 15A G 1B 10D G 10C 15A G 11A 14D G 14A 9B G 1A 11B G 20C 15A G 9B 2B G 6C 2D G 5B 6D G 7A 11B G 10A 20B G 11C 15B G 19D 15C G 11D 10B G 14B 11B G 17D 16C G 14B 18B G 11D 6B G 18D 17C G 13A 1C G 15B 16A G 1C 9C G 13D 9B G 9A 12A G 14C 8C G 13A 10A G 1D 12A G 14A 20B G 14B 18A G 10A 18D G 7D 3D G 16B 7C G 11C 17A G 13B 16B G 20B 14D+ G 14D+ 11D G 5D 8C+ G 4B 19A G 19D 5A G 10C 14C G 14B 10C+ G 14B 9A G 2C 13D G 6D+ 7B G 14C 17C+ G 16D 5D G 7C 12B+ G 19D 16A G 4B 10B G 20B 13B G 20C 16D G 1C 15B G 16A 4B G 16D+ 12C G 5A 16A G 18D 2C G 13C 15D G 5D 14C G 18B 12C G 3D+ 17A G 20A 6C+ G 15D 20C G 19C 11A G 14B+ 1B G 13D 20B G 9D 2C G 20D 7A+ G 14C 1B G 18C 4A G 10A 15A G 19D 9D+ G 15B,9B 14D 14A 14C 10B 10A 10D 15B 6C 6A 6D 11B
Parallel MCTS Beeline,Monte Carlo Barricade,One,Normal,91,746543,8,3A 4C G 5C 1C G 4A 1B G 18D 16B G 20A 5A G 2A 10D G 6D 19B G 17A 4D G 14C 14D G 9D 18C G 1D 7C G 12A 11C G 2C 20C G 16C 16D G 20B 2C G 7B 12C G 8B 18B G 10D 2D G 7B 14A G 19B 12B G 17B 20C G 8C 12A G 16A 19A G 20B 3B G 4B 17C G 17A 16A G 3D 8C G 10B 12D G 18B 10B G 8C 2C G 7D,4B 3B 3A 3D 2C 7D 12B 12A 12D 7B 11C 16D 16A 16B
Monte Carlo Beeline 3,Parallel MCTS Beeline,Two,Normal,100,1127326,4,2A 17D G 3B 18A G 19D 6C G 10A 14B G 2B 20B G 17B 2B G 8D 5B G 19A 4D G 16B 13D G 7C 6D G 19A 20C G 4B 10B G 15C 16B G 15B 19C G 20C 17A G 3A 8C G 1A 1D G 6A 18D G 11D 13B G 9C 11B G 16C 7D G 20D 8A G 13B 13A G 1C 11B G 11A 12A G 9A 7B G 14A 20A G 15D 18C G 8D 4D G 15A 2C G 18C 20C G 12C 13D G 2C 8B G 17D,8B 12C 17D 17A 17B 16B 20B 20A 20C 15D 15A 15B
Monte Carlo Barricade,Parallel MCTS,Two,Normal,106,1177959,58,15C 2C G 8C 2B G 20C 15A G 18C 1D G 19D 15A G 3C 16A G 2D 12A G 5C 11D G 15A 3B G 13A 8D G 9A 3C+ G 14A 14C G 19B 11C G 20A 20B G 10C 20A+ G 7B 4C G 10D 2C+ G 5D 6A G 12C 14D G 1D 1A G 13B 12D G 5A 4B G 14B 16D G 11A 1A G 7C 13B G 12A 9A+ G 6B 8A G 13C 11B G 16C 5C G 9B 11B G 15C 11C+ G 9A 13D G 12B 8D G 12C 13D G 11B 11A+ G 8B,9A 9B 13C 13A 13B 8D 8A 8B 12C 12A 12D 7B 11C 11A
Barricade,Monte Carlo Barricade,Two,Normal,286,1203230,15,4D 10D G 5A 5B G 5C 16C G 16D 5D G 5C 7A G 11C 15C G 7B 13B G 9D 9A G 7B 14A G 11B 14B G 11A 15B G 10A 7C G 7C 9A G 6A 6C G 10B 8A G 12A 2C G 14C 8B G 15D 19B G 15C+ 7B G 20D 9C G 16A 14A G 7C 18A G 6C 2A G 11A 4B G 14D 20D G 10B 8D G 5A 16B G 7B+ 6B G 6D 19D G 18B 6D G 6D 14A G 17A 8D G 8D+ 18D G 20D+ 18B G 18A 6C G 19B 17C G 2B 20D+ G 13A 15C G 16A 12B G 18C 14B G 12D 9B G 15C 18D G 14C 13C G 8D 16A G 6D 10A+ G 20B 2C+ G 4C 10C G 6C+ 3D G 3C 11B+ G 20D+ 14B G 14D 9C G 11C+ 5A+ G 1D 17A+ G 17A+ 12D G 5D 10C+ G 20D+ 2D G 5A+ 10D+ G 11A+ 16A G 1A 20A G 10B+ 19A G 16A 13B+ G 12A+ 18C G 18D+ 12D G 10C+ 5C G 3A 17C G 17A+ 1C G 5D 9B+ G 17C+ 5A+ G 13D 12C G 8C 1D G 6B 6A+ G 3C 9D G 5D 5B G 17A+ 1D G 7D 9B+ G 11C+ 17B G 3C 17C+ G 9B+ 20C G 1B 14D G 7C+ 14B G 1C+ 12D+ G 7A+ 20C G 5D 6A+ G 19D+ 17B G 9C 13A+ G 13A+ 20C G 5B 17D G 13C 18C+ G 5C 10A+ G 13D 14B G 5D 14A+ G 15D+ 4D+ G 14C 8D G 15C+ 18A+ G 19A 12B+ G 6D,6A 6D 11B 11A 11C 7B 12D 12A 12C 8B 8A 8D 13B 13A
