Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Tile Skipper,Random,One,Normal,48,101,79,20D 12C 12B 6B 6C 9A 16B 1A 2B 13C 13B 2C 4B 9A 4C 1B 2A 14A 9C 3D 3C 18D 14B 4D 5D 18B 9B 7B 10C 4A 8C 19A
Random,Tile Skipper,Two,Normal,48,100,65,17B 20D 6B 11A 9A 6C 1A 10C 8C 2B 2C 14B 15B 4B 1B 20C 4D 2A 3D 17A 18B 3C 4C 17A 11B 7A 10B 13A 4D 12A 8B 17C
Kitty Corner,Random,Two,Normal,60,107,64,17A 7C 4D 12A 7A 2D 6B 2A 1A 17C 10A 5A 7B 19B 13B 7B 2B 6D 1B 7B 5D 15C 8D 5D 3A 16D 18D 16B 14D 8A 20B 7A 7B 6B 19B 7B 18A 9A 10B 7A
Random,Bee Line,Two,Normal,42,108,77,20B 20A 10D 20B 4D 15A 5B 19A 11B 3B 15B 15D 14B 12D 16D 8A 3D 5A 4B 1C 16B 3A 10D 10B 11D 12C 12B 19C
Tile Skipper,Bee Line,One,Normal,54,108,79,20D 12C 2D 6B 6C 5C 7D 1A 2B 3D 4B 2C 7A 8C 5B 6A 1D 3A 12B 1B 3B 13B 9D 3C 7B 10C 10A 9C 8D 14B 13C 4D 4C 9A 9B 19C
Kitty Corner,Bee Line,Two,Normal,33,106,76,20A 7C 12D 15A 10A 7B 8B 5A 4A 13C 12C 3A 5B 13A 9B 20B 10B 13D 14D 20D 4B 1A
Bee Line,Random,One,Normal,39,106,65,17B 18B 11A 2B 5B 13D 7C 12A 2C 3D 14B 2A 12B 16A 7A 1B 7D 13C 18D 17C 1D 8A 15D 7D 10B 15D
Bee Line,Kitty Corner,One,Normal,39,4229,24,7A 17A 12A 20A 16C 16A 11A 4A 3B 6A 1A 2B 14A 5A 17C 2D 4C 17D 5D 9D 14B 11B 1C 9D 2C 5D
Random,Kitty Corner,Two,Normal,42,4330,0,1A 4A 5A 14A 13C 9A 10A 19D 16D 15A 3A 18A 8D 8A 3D 18B 20A 4C 3D 18D 1C 10D 10C 16A 17D 10D 8A 18D
Tile Skipper,Kitty Corner,One,Normal,45,4733,79,20D 13A 8A 6B 6C 3A 2A 1A 2B 12A 7A 2C 4B 9A 4A 1B 3B 5A 10A 4C 7C 3C 12C 7B 5D 8B 10D 10C 14A 4D
Bee Line,Tile Skipper,One,Normal,57,6746,37,10B 20D 6B 12B 2B 6C 1A 5D 1B 2D 2C 5A 10A 3A 4B 8A 4A 1C 4C 9C 14B 7C 7B 8D 9D 3C 9A 14D 18A 13C 13D 17D 18D 19C 9B 4C 3B 13A
Kitty Corner,Tile Skipper,Two,Normal,108,6848,40,11A 20D 6B 6A 1A 6C 5C 5A 4A 5B 2B 9A 9C 2C 3B 9D 9B 1B 3C 4C 4D 7A 8A 9D 13C 7C 8D 12C 17A 8B 12D 15D 13D 17C 18A 1C 4D 18C 19A 14B 4D 18B 18B 16D 6D 20C 15B 9D 1A 7D 15A 4A 13A 19B 5B 14B 12C 12A 12A 16D 17D 20C 8C 14B 13A 5B 11D 5D 14D 17A 8C 9A
Random,Deep Beeline,Two,Normal,64,6950,9,3B 6D 20B 16C 18A 13A 3C 14A 6A 7D 7A 17C 6A 18B 19B 13C 7B 6C 9C 11A 17C 15D 8C 12D 19C 17D 5C 10B 1D 10A 9B 7B 15C 8A 9B 6B 16A 19D 9B 15C 4C 12A 9B
Tile Skipper,Deep Beeline,Two,Normal,57,6950,79,20D 6C 11D 6B 6D 8D 6A 1A 2B 12A 8B 2C 4B 18A 13A 1B 1C 5D 9A 3B 3D 11C 14A 4A 4C 14C 10A 7B 9D 7A 17C 9B 14B 19C 14D 17A 9B 10B
Kitty Corner,Deep Beeline,Two,Normal,60,7051,48,13A 3B 13B 8A 3A 20B 3C 2A 1A 18C 19C 6A 6D 1C 8B 13C 13C 4A 7C 6B 13C 11A 14D 13C 1B 5D 18B 7A 19D 16C 9D 15B 6C 14B 16D 15A 17C 7B 12D 11B
