Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Random,Barricade,Two,Normal,60,5948,45,12B 20B G 12A 6A G 8D 6B G 6C 9C G 8B 6D G 8A 15B G 15C 13D G 3D 16D G 1D 7A G 9A 3B G 14A 4A G 17D 13C G 5A 7C G 7B 15A G 1D 18A G 18D 11C G 19C 5B G 1B 12B G 7D 2A G 1B 16D G
Barricade,Monte Carlo Beeline,Two,Normal,78,13528,48,13A 13B G 10C 10A G 5D 17C G 10B 15D G 14C 14D G 19B 14B G 8D 9C G 4A 4D G 8B 15B G 2D 7C G 19D 19A G 12B 20B G 17B 18D G 3D 15C G 6B 11C G 5B 3B G 1B 1A G 6D 15D G 9D 6A G 15B 18C G 12C 6A G 6A 1D G 8B 2C G 15B 4D G 8D 17B G 5B 1D G
Tile Skipper,Monte Carlo Beeline,Two,Normal,48,9222,79,20D 16B G 20A 6B G 6C 1A G 13B 5C G 5B 12A G 12C 2B G 2C 17D G 4A 3B G 1B 3C G 9A 3D G 4C 16D G 8A 7A G 8C 15D G 14C 14B G 9D 11C G 7B 14A G
Kitty Corner,Random,One,Normal,45,103,68,18A 19A G 10D 13A G 8A 7A G 4A 3A G 2A 14D G 11A 1A G 13C 7B G 14A 13C G 1D 15A G 5D 2C G 3D 19D G 12B 2B G 2B 12B G 11B 6B G 17D 17A G
Deep Beeline,Kitty Corner,Two,Normal,48,10451,61,16B 14A G 9A 6D G 11A 4A G 3A 6A G 9D 2A G 7A 19A G 20A 9C G 4B 11D G 7D 7C G 4B 2B G 19D 4B G 4C 16C G 20C 2D G 4A 19C G 12B 7B G 2C 15D G
Bee Line,Deep Beeline,Two,Normal,54,10647,79,20D 16B G 9B 19C G 13A 13B G 19B 15D G 10B 7A G 6B 4A G 5D 4C G 12B 14B G 11D 11B G 11A 3C G 4D 5A G 12C 3A G 1A 15B G 18A 1B G 3B 1C G 1D 2B G 18D 6C G 5C 3D G
Deep Beeline,Barricade,Two,Normal,63,8430,32,9A 9B G 9C 15D G 11B 9D G 15A 20A G 5A 5B G 5C 17B G 18D 5D G 14A 10C G 20B 16B G 20D 7D G 12A 19B G 19A 4A G 3C 18A G 4D 13D G 2A 8A G 8B 1A G 3A 13A G 4A 18C G 16C 9A G 15A 12C G 3C 3B G
Bee Line,Barricade,Two,Normal,57,2319,41,11B 6A G 11A 9B G 1B 1A G 2B 12D G 13A 5B G 9A 12C G 13C 13B G 13D 12A G 7A 18D G 16D 18B G 17A 5C G 5A 17B G 19C 19B G 5D 3D G 4D 4C G 9D 19A G 19D 20B G 4C 12A G 13A 9C G
Kitty Corner,Monte Carlo Beeline,Two,Normal,45,9950,4,2A 16B G 13A 3A G 4A 9A G 4C 8A G 5A 9D G 19A 10A G 15A 10D G 18A 5D G 3D 20D G 16D 15D G 4D 16C G 17D 10C G 5D 20C G 14C 1D G 15A 12A G
Bee Line,Monte Carlo Beeline,Two,Normal,48,10056,13,4B 9B G 16B 15C G 10A 3C G 15D 8D G 9D 19B G 11D 10D G 14B 15A G 20B 12B G 6A 9C G 11C 7A G 7C 14A G 7B 8C G 7D 11B G 2C 1C G 2D 14C G 12D 5D G
Random,Deep Beeline,Two,Normal,54,10065,70,18C 9A G 6C 2B G 9C 17A G 20B 12A G 18C 11B G 17D 1A G 5D 1B G 8B 13A G 19D 18B G 3A 11C G 5D 4A G 10D 13A G 7D 2C G 10A 2D G 14A 8A G 15C 18D G 18C 7A G 1B 13C G
Tile Skipper,Deep Beeline,Two,Normal,57,10031,79,20D 11A G 8A 6B G 6C 3C G 9C 1A G 2B 18A G 19B 2C G 4B 4C G 20C 1B G 2A 13B G 18B 3D G 7A 14C G 20B 4A G 7B 10D G 16B 10B G 10C 14B G 17A 12D G 19D 10A G 17C 19D G 19D 20C G
